transcript_id,keyword,start_timestamp(seconds),end_timestamp(seconds),confidence_score(percentage)
0,astronomy,0.09,0.87,100.00
0,literally,0.93,1.47,100.00
0,meaning,1.47,1.8,100.00
0,the,1.8,1.92,100.00
0,science,1.92,2.34,100.00
0,that,2.34,2.58,100.00
0,studies,2.58,3.06,100.00
0,the,3.06,3.18,100.00
0,laws,3.18,3.6,100.00
0,of,3.63,3.81,100.00
0,the,3.81,3.9,100.00
0,stars,3.9,4.53,100.00
0,is,4.68,4.89,100.00
0,a,4.89,4.95,100.00
0,natural,4.95,5.46,100.00
0,science,5.49,5.91,100.00
0,that,5.91,6.12,100.00
0,studies,6.12,6.57,100.00
0,celestial,6.57,7.2,100.00
0,objects,7.2,7.77,100.00
0,and,7.77,7.95,100.00
0,phenomena,7.95,8.55,100.00
0,it,8.88,9.12,100.00
0,uses,9.12,9.54,100.00
0,mathematics,9.54,10.41,100.00
0,physics,10.53,11.13,100.00
0,and,11.25,11.49,100.00
0,chemistry,11.49,12.06,100.00
0,in,12.06,12.18,100.00
0,order,12.18,12.48,100.00
0,to,12.48,12.66,100.00
0,explain,12.66,13.17,100.00
0,their,13.17,13.38,100.00
0,origin,13.38,13.89,100.00
0,and,13.89,14.16,100.00
0,evolution,14.16,14.85,100.00
0,objects,15.21,15.75,100.00
0,of,15.75,15.87,100.00
0,interest,15.87,16.44,100.00
0,include,16.44,16.83,100.00
0,planets,16.83,17.55,100.00
0,moons,17.67,18.3,100.00
0,stars,18.45,19.2,100.00
0,nebulae,19.32,19.89,100.00
0,galaxies,20.16,20.79,100.00
0,and,20.94,21.15,100.00
0,comments,21.15,21.84,100.00
0,relevant,22.2,22.71,100.00
0,phenomena,22.71,23.31,100.00
0,include,23.34,23.82,100.00
0,supernova,23.82,24.45,100.00
0,explosions,24.45,25.32,100.00
0,gamma,25.44,25.83,100.00
0,ray,25.83,26.04,100.00
0,bursts,26.04,26.73,100.00
0,quays,26.85,27.33,99.21
0,ours,27.33,27.81,99.21
0,blazers,27.96,28.8,65.82
0,pulsars,28.95,29.76,100.00
0,and,29.88,30.09,100.00
0,cosmic,30.09,30.63,100.00
0,microwave,30.63,31.26,100.00
0,background,31.29,31.92,100.00
0,radiation,31.92,32.67,100.00
0,more,33.06,33.36,100.00
0,generally,33.36,33.96,100.00
0,astronomy,34.08,34.77,100.00
0,studies,34.77,35.22,100.00
0,everything,35.25,35.82,100.00
0,that,35.82,36.12,100.00
0,originates,36.15,36.75,100.00
0,beyond,36.75,37.14,100.00
0,earth's,37.17,37.68,100.00
0,atmosphere,37.68,38.4,100.00
0,cosmology,38.79,39.6,100.00
0,as,39.6,39.78,100.00
0,a,39.78,39.84,100.00
0,branch,39.84,40.23,100.00
0,of,40.23,40.32,30.69
0,astronomy,40.35,40.95,100.00
0,that,40.95,41.19,100.00
0,studies,41.19,41.64,100.00
0,the,41.64,41.73,100.00
0,universe,41.73,42.3,100.00
0,as,42.3,42.51,100.00
0,a,42.51,42.57,100.00
0,whole,42.57,42.99,100.00
0,during,43.38,43.77,100.00
0,the,43.77,43.89,100.00
0,renaissance,43.89,44.79,100.00
0,nicolaus,44.94,45.6,100.00
0,copernicus,45.6,46.26,100.00
0,proposed,46.29,46.8,100.00
0,a,46.8,46.86,100.00
0,heliocentric,46.86,47.64,100.00
0,model,47.67,48.09,100.00
0,of,48.12,48.27,100.00
0,the,48.27,48.36,100.00
0,solar,48.36,48.69,100.00
0,system,48.69,49.29,100.00
0,his,49.65,49.92,100.00
0,work,49.92,50.28,100.00
0,was,50.28,50.49,100.00
0,defended,50.49,50.94,100.00
0,by,50.94,51.06,100.00
0,galileo,51.06,51.6,100.00
0,galilei,51.6,52.11,100.00
0,and,52.11,52.23,100.00
0,expanded,52.23,52.83,100.00
0,upon,52.86,53.31,100.00
0,by,53.31,53.58,100.00
0,johannes,53.58,54.12,100.00
0,kepler,54.12,54.72,100.00
0,kepler,55.11,55.53,100.00
0,was,55.53,55.74,100.00
0,the,55.74,55.83,100.00
0,first,55.83,56.22,100.00
0,to,56.22,56.31,100.00
0,devise,56.31,56.82,100.00
0,a,56.82,56.88,100.00
0,system,56.88,57.33,100.00
0,that,57.33,57.57,100.00
0,correctly,57.57,58.08,100.00
0,described,58.08,58.65,100.00
0,the,58.65,58.74,100.00
0,details,58.74,59.34,100.00
0,of,59.34,59.43,100.00
0,the,59.43,59.52,100.00
0,motion,59.52,59.97,100.00
0,of,60.0,60.12,100.00
0,the,60.12,60.24,100.00
0,plan,60.24,60.48,100.00
0,minutes,60.48,60.76,73.61
0,surround,60.76,61.2,83.75
0,the,61.2,61.26,100.00
0,sun,61.26,61.74,100.00
0,however,62.07,62.67,100.00
0,kepler,62.82,63.24,100.00
0,did,63.24,63.42,100.00
0,not,63.42,63.66,100.00
0,succeed,63.66,64.2,100.00
0,in,64.23,64.38,100.00
0,formulating,64.38,65.04,100.00
0,a,65.07,65.16,100.00
0,theory,65.16,65.52,100.00
0,behind,65.52,65.97,100.00
0,the,65.97,66.03,100.00
0,laws,66.03,66.45,100.00
0,he,66.45,66.6,100.00
0,wrote,66.6,66.93,100.00
0,down,66.93,67.35,100.00
0,one,67.74,68.07,100.00
0,of,68.1,68.28,100.00
0,the,68.28,68.4,100.00
0,oldest,68.4,68.94,100.00
0,fields,68.94,69.3,100.00
0,in,69.3,69.42,100.00
0,astronomy,69.42,70.11,100.00
0,and,70.23,70.47,100.00
0,in,70.47,70.62,100.00
0,all,70.62,70.86,100.00
0,of,70.86,70.98,100.00
0,science,70.98,71.58,100.00
0,is,71.67,71.91,100.00
0,the,71.91,72.0,100.00
0,measurement,72.0,72.54,100.00
0,of,72.54,72.63,100.00
0,the,72.63,72.72,100.00
0,positions,72.72,73.32,100.00
0,of,73.32,73.47,100.00
0,celestial,73.47,74.07,100.00
0,objects,74.1,74.73,100.00
0,historically,75.09,75.93,100.00
0,accurate,75.99,76.47,100.00
0,knowledge,76.47,76.92,100.00
0,of,76.95,77.1,100.00
0,the,77.1,77.22,100.00
0,positions,77.22,77.82,100.00
0,of,77.82,77.94,100.00
0,the,77.94,78.03,100.00
0,sun,78.03,78.51,100.00
0,moon,78.6,79.08,100.00
0,planets,79.26,79.77,100.00
0,and,79.77,79.95,100.00
0,stars,79.95,80.46,100.00
0,has,80.46,80.64,100.00
0,been,80.67,80.88,100.00
0,essential,80.88,81.42,100.00
0,in,81.42,81.6,100.00
0,celestial,81.6,82.2,100.00
0,navigation,82.23,82.98,100.00
0,the,83.13,83.31,100.00
0,use,83.31,83.58,100.00
0,of,83.58,83.7,100.00
0,celestial,83.7,84.33,100.00
0,objects,84.33,84.87,100.00
0,to,84.87,84.99,100.00
0,guide,84.99,85.47,100.00
0,navigation,85.47,86.19,100.00
0,and,86.34,86.55,100.00
0,in,86.55,86.66,55.68
